username,acct_desc,location,following,followers,total_tweets,user_created,tweet_created,retweet_count,text,hashtags
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-08-03 22:27:05,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
DSNAI_IjebuOde,"@DataScienceNIG AI Community in Ijebu-Ode l AI meetups, trainings for knowledge, research and innovations
Lead: @AkinyigaO 
#1m_AI_talents_in_10_years",Ijebu-Ode,235,109,143,2020-01-16 23:46:43,2020-08-03 22:27:00,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","['100DaysOfCode', 'DSN70DaysofML', 'MachineLearning']"
KKTech7,"Following #python
I am a bot

Created by @KajalMahawer",None,3,61,5923,2020-07-12 18:43:17,2020-08-03 22:01:41,3,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-03 21:39:57,3,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
GitLit000,"I retweet #301DaysOfCode, tutorials and more. My creator is @nikkilr88. She built me with #NodeJS and lots of .",Heroku,1,2195,78747,2017-10-21 15:48:44,2020-08-03 21:39:44,3,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-08-03 21:39:39,3,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-03 19:49:09,3,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","['Day34', 'DSN70daysofML']"
gdprAI,"Official news and insights. Top 10 influencer #gdpr, #privacy, #ai, #dataprotection, #ml, #cybersecurity, #ibm,  #dataprivacy, #ccpa, #infosec, #security, #data","England, United Kingdom",1,2430,107081,2019-07-15 09:19:06,2020-08-03 19:49:01,3,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","['Day34', 'DSN70daysofML']"
fikkyman1,"Christ! 
Tech boy 
United ",Nigeria,417,74,292,2014-09-06 18:56:18,2020-08-03 19:48:34,3,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","['Day34', 'DSN70daysofML', 'MachineLearning']"
OgunmisiM,"Percussionist....
Engineering student",Lagos ,66,9,24,2019-11-04 07:12:10,2020-08-03 19:48:20,0,"DAY34. 
Today's machine learning was based on clustering. Clustering is an unsupervised machine learning algorithm. 
We started with KMeans today. 
Tomorrow we move. We gats calm down till day 70.
#70daysofML
@DataScienceNIG",['70daysofML']
