username,acct_desc,location,following,followers,total_tweets,user_created,tweet_created,retweet_count,text,hashtags
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,367,348,3865,2020-04-08 14:30:59,2020-08-01 23:01:05,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","['DSN70daysofml', 'GIS', 'geospatial', 'Day32']"
elisha_ekanem,None,None,1327,326,540,2017-08-22 12:38:28,2020-08-01 23:01:00,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","['DSN70daysofml', 'GIS', 'geospatial', 'Day32']"
SSXman2,I'm a biologist,"Benin-City, Nigeria",4971,4344,351545,2017-07-28 08:00:40,2020-08-01 22:34:25,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
_codenewbiebot,Beep boop. I am a bot created by  to support code newbies.,None,9,404,37601,2020-05-31 11:17:02,2020-08-01 22:18:00,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 22:17:55,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,None,0,1528,193324,2020-05-28 22:26:07,2020-08-01 22:17:14,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-08-01 22:17:09,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
youngapp_pf,"AI-driven text data extracting APIs for business automation  
#API #OCR #Machinelearning #AI #Automation","Paris, France",3492,2003,31130,2015-11-29 14:15:48,2020-08-01 22:09:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 21:26:42,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML']"
fikkyman1,"Christ! 
Tech boy 
United ",Nigeria,417,74,292,2014-09-06 18:56:18,2020-08-01 21:25:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","['Day32', 'DSN70daysofML', 'MachineLearning']"
developersbot,"I serve as a motivator to programmers ‍@engg_rky programmed me in #NodeJS. I’m working 24x7 & now hungry, please feed me your FOLLOW  otherwise I’ll DIE",AWS Server,1,1159,73732,2020-05-31 19:31:30,2020-08-01 17:35:52,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf",['70DaysofML']
Elishatofunmi,Machine learning researcher|Engineering| @DataScienceNIG community manager| founder of #pyladiesife #pythonife #widsife #DataScienceIfe,"Lagos, Nigeria",493,621,1885,2017-09-15 12:34:13,2020-08-01 17:35:50,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf",['70DaysofML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-08-01 11:51:31,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",['']
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-01 11:50:37,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","['DSN70daysofML', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 22:30:48,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","['DSN70daysofMl', 'Day31', 'GIS']"
elisha_ekanem,None,None,1327,326,540,2017-08-22 12:38:28,2020-07-31 22:30:16,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","['DSN70daysofMl', 'Day31', 'GIS']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 22:20:34,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG",['DSN70DaysOfML']
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",None,126,43,75,2020-06-12 20:54:27,2020-07-31 22:19:23,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG",['DSN70DaysOfML']
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-07-31 20:12:18,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
KKTech7,"Following #python
I am a bot

Created by @KajalMahawer",None,3,61,5923,2020-07-12 18:43:17,2020-07-31 20:12:12,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 19:32:15,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-07-31 19:31:46,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Pardoe_AI,"#AI #Influencer, #Advisor & #Investor. Host  Founder of @Informed_AI @Neurons_AI & @Awards_AI #intoAI CEO @Pardoe_VC CAIO @Combined_Intell",Global,7390,15144,185716,2014-07-06 12:41:41,2020-07-31 16:46:04,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM",['DSN70daysofML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 14:24:51,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM",['DSN70daysofML']
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-07-31 14:24:42,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM","['DSN70daysofML', 'MachineLearning', 'SVM']"
machine_ml,"Here, we retweet everything related to #MachineLearning
-
Data Science with Python: 
-
IBM Data Science Professional: ",None,21,10752,132168,2018-06-06 04:55:52,2020-07-31 14:16:44,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
BrainRoaring,"Unapologetically multidisciplinarian. Musings on tech, business, geopolitics and culture.",None,1,1493,88300,2018-04-21 19:48:36,2020-07-31 14:14:46,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 14:14:32,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-07-31 14:14:25,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless  || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-31 14:14:14,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","['DSN70DaysOfML', 'AIBootcamp2020', 'MachineLearning', 'Python3']"
Its_the_will,Lover of Music  | Aries  | Technophile  | Data Scientist ‍ |  Web Developer | Google Cloud Developer ‍ | @repotecc,"Port Harcourt, Nigeria",323,102,1116,2017-05-29 16:10:03,2020-07-31 13:13:00,0,"@DataScienceNIG #70daysofML

This bootcamp has been really fun and engaging. In my opinion, it has been more of a Deep Learning demystified course than a bootcamp, a lot of concepts has been expounded. Just amazing.",['70daysofML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 12:53:55,1,"From today's lecture @DeepMind 
How well do you know Sequence model? #DSN70DaysOfML @DataScienceNIG https://t.co/ywVusCCd2D",['DSN70DaysOfML']
SirOnuigweVitus,Data Scientist #Radiographer️ Deep Learning Researcher ️ Mentor @deeplearningai_,Nigeria,1648,1965,33102,2015-12-24 00:50:44,2020-07-31 12:53:10,1,"From today's lecture @DeepMind 
How well do you know Sequence model? #DSN70DaysOfML @DataScienceNIG https://t.co/ywVusCCd2D",['DSN70DaysOfML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-31 00:28:59,1,I am so glad I got an opportunity to register for this. It has been an amazing experience all the way and I know lots more are yet to come #DSN70daysofML,['']
Engr_et_realtor,"A Petroleum engineer by course, a realtor by profession.","Lekki, Nigeria",135,28,139,2019-01-14 15:00:47,2020-07-31 00:28:21,1,I am so glad I got an opportunity to register for this. It has been an amazing experience all the way and I know lots more are yet to come #DSN70daysofML,['DSN70daysofML']
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-07-30 23:45:24,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-30 23:45:18,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless  || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-30 23:45:10,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","['DSN70DaysOfML', 'AIBootcamp2020', 'MachineLearning', 'Python3']"
AIplus_OAU,"@DataScienceNIG AI Community in OAU // AI meetups/training for knowledge, research and innovation. Lead: @paul_okewunmi #1m_AI_talents_in_10_years","Ife, Nigeria",280,602,935,2018-10-22 18:30:10,2020-07-30 22:26:30,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf",['70DaysofML']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-30 22:23:45,2,"Day 29: Kernels Introduction -  practical machine learning tutorial with python p.29
@DataScienceNIG 

•SVM performs much better if the data is Linearly Separable.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",['']
DeleLinus,Mewzik in its entireties | Python | Data Science | Machine Learning | web development | AI | Robotics | Graphics | Academics Tutor | CRUISE LOVER,"Ogbomosho, Nigeria",121,43,25,2015-10-26 13:15:01,2020-07-30 22:23:43,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf","['70DaysofML', 'MachineLearning']"
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless  || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-30 22:23:21,2,"Day 29: Kernels Introduction -  practical machine learning tutorial with python p.29
@DataScienceNIG 

•SVM performs much better if the data is Linearly Separable.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","['DSN70DaysOfML', 'AIBootcamp2020', 'MachineLearning', 'Python3']"
GeomaticsFeed,Geomatics Geoinformatics Updates and latest news.,Internet,269,1687,43998,2017-12-21 02:54:24,2020-07-30 21:34:08,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",['']
andrewmorrisuk,Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent,Bedford,874,11386,422884,2014-02-23 21:58:16,2020-07-30 21:05:27,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-30 21:05:03,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",['']
gold_ochim,...,"Abuja, Nigeria",507,112,225,2018-02-25 19:40:54,2020-07-30 21:04:25,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","['DSN70DaysOfML', 'Python', 'CodeNewbie', 'MachineLearning']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-30 20:47:35,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",['']
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,367,348,3865,2020-04-08 14:30:59,2020-07-30 20:46:43,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",['']
elisha_ekanem,None,None,1327,326,540,2017-08-22 12:38:28,2020-07-30 20:46:37,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi","['DSN70daysofml', 'Day30', 'GIS']"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,504,2020-06-29 07:01:47,2020-07-30 20:11:10,2,"#Day30 of #DSN70daysofML

Still on SVM today but specifically KERNEL. With more variable today like Z-prime. More mathematical analysis were done today 👏👏👏

@DataScienceNIG @AiUnilorin @Dsn70daysofML @bayoadekanmbi @o_funminiyi #MachineLearning","['Day30', 'DSN70daysofML']"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: ",None,81,581,41105,2018-06-22 10:41:21,2020-07-30 20:10:31,2,"#Day30 of #DSN70daysofML

Still on SVM today but specifically KERNEL. With more variable today like Z-prime. More mathematical analysis were done today 👏👏👏

@DataScienceNIG @AiUnilorin @Dsn70daysofML @bayoadekanmbi @o_funminiyi #MachineLearning","['Day30', 'DSN70daysofML']"
fikkyman1,"Christ! 
Tech boy 
United ",Nigeria,417,74,292,2014-09-06 18:56:18,2020-07-30 20:10:26,2,"#Day30 of #DSN70daysofML

Still on SVM today but specifically KERNEL. With more variable today like Z-prime. More mathematical analysis were done today 👏👏👏

@DataScienceNIG @AiUnilorin @Dsn70daysofML @bayoadekanmbi @o_funminiyi #MachineLearning","['Day30', 'DSN70daysofML', 'MachineLearning']"
