username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
OgunmisiM,"Percussionist....
Engineering student",Lagos ,66,9,24,2019-11-04 07:12:10,2020-08-03 19:48:20,0,"DAY34. 
Today's machine learning was based on clustering. Clustering is an unsupervised machine learning algorithm. 
We started with KMeans today. 
Tomorrow we move. We gats calm down till day 70.
#70daysofML
@DataScienceNIG","[{'text': '70daysofML', 'indices': [197, 208]}]"
script_py,"I retweet your tweets use these two hashtags in your Tweets
1. #100DaysOfCode
This Bot is Owned and Managed by @coderaman07",Delhi,1,18,128,2020-07-19 11:53:24,2020-08-03 18:44:18,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here 👉 https://t.co/VRnN9grEfw",Germany ,10,4988,207261,2015-02-16 15:33:55,2020-08-03 18:43:51,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
Taieb_Bot,I retweet all about #100DaysOfCode #Javascript and my mother country #Tunisia created by @Filsdelarabe,Raspberry PI,1,2900,549593,2017-07-13 14:57:09,2020-08-03 18:43:35,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
xaelbot,"A bot, I like and retweet on #100DaysOfCode. Block if don't want to be retweeted. Created by @yathinbabu",Earth,1,2615,535993,2019-05-13 06:56:12,2020-08-03 18:43:34,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 18:43:30,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
MusaMagaga,"Data Scientist,AI/ML,Web And Chatbot Developer,Android Enthusiast","Kaduna, Nigeria",179,90,53,2019-11-21 19:06:45,2020-08-03 18:43:22,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [0, 14]}, {'text': 'DSN70DaysofML', 'indices': [15, 29]}, {'text': 'MachineLearning', 'indices': [30, 46]}]"
Jamesononiwu,"Machine Learning Enthusiast | facilitator AI-in-cities DataScienceNigeria.
I share my knowledge by writing technical articles at https://t.co/VS8ZMwyd4j",Nigeria,293,80,184,2012-06-02 20:50:32,2020-08-03 17:56:22,0,"@DataScienceNIG, #70daysofML
Learning has been great, five more weeks to go.","[{'text': '70daysofML', 'indices': [17, 28]}]"
ShaikhOyesh,🌊🏖🤸‍♂️👣,"Mumbai, India",132,22,1903,2018-10-23 17:49:28,2020-08-03 12:27:49,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
TheCuriousLuke,Luke identifies himself as a: #MachineLearning #Enthusiast 🤖 ¦ #Biotechnology #Student 🤓 ¦ former #Chemical #Labtechnician 👨‍🔬 ¦  #Human,Switzerland,259,5098,217799,2018-11-18 10:50:47,2020-08-03 12:27:04,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here 👉 https://t.co/VRnN9grEfw",Germany ,10,4988,207261,2015-02-16 15:33:55,2020-08-03 12:26:55,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
femenia_joan,"Radio-tecnologia-ciencia
#sentDigital @RadioPego","Pego, Espanya",1265,291,1802,2017-10-08 22:02:07,2020-08-03 12:26:49,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
_OliviaBot,I retweet every mention of #MachineLearning Meet my humble daddy ❤ : @sankalp_saxena 😎,India,6,527,28592,2019-05-27 06:06:23,2020-08-03 11:41:57,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Jaci_bube,"ɪ ʟɪᴠᴇ ɪɴ ᴄʜʀɪsᴛ!
ᴊᴏɪɴ ᴍᴇ ᴛʜᴇʀᴇ😊",,118,74,116,2019-11-21 19:40:39,2020-08-03 11:41:02,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 11:17:44,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-03 11:17:00,8,"Today we started Unsupervised Learning with Clustering (KMeans Algo.). There are two types which are Flat and Heirarchical Clustering. KMeans is an example of Flat Clustering.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","[{'text': 'DSN70daysofML', 'indices': [209, 223]}, {'text': 'MachineLearning', 'indices': [224, 240]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 04:17:27,1,"Day 32/33 of #DSN70DaysOfML:
We concluded the SVM model considering Kernels with CVXOPT and then went ahead to look at the various parameters one can tune to get a model with better predictions
@DataScienceNIG","[{'text': 'DSN70DaysOfML', 'indices': [27, 41]}]"
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",,126,43,77,2020-06-12 20:54:27,2020-08-03 04:16:18,1,"Day 32/33 of #DSN70DaysOfML:
We concluded the SVM model considering Kernels with CVXOPT and then went ahead to look at the various parameters one can tune to get a model with better predictions
@DataScienceNIG","[{'text': 'DSN70DaysOfML', 'indices': [13, 27]}]"
youngapp_pf,"AI-driven text data extracting APIs for business automation 🙌 🙌
#API #OCR #Machinelearning #AI #Automation","Paris, France",3608,2022,31400,2015-11-29 14:15:48,2020-08-02 23:10:01,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
bookassassin_15,Just be yourself,,1660,226,2025,2015-11-08 22:09:54,2020-08-02 23:01:20,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,,0,1540,195629,2020-05-28 22:26:07,2020-08-02 23:00:43,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
hubofml,"Once a month, you'll get a newsletter from me with lots of exciting stuff on data science, engineering, and machine learning. Subscribe here 👉 https://t.co/VRnN9grEfw",Germany ,10,4988,207261,2015-02-16 15:33:55,2020-08-02 23:00:38,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
fullNam35087976,"I enjoy programming as a hobby😀This account is a Bot that just do retweets, followback, and like😀It's not a company😀It does't respond to DM or replies😀","Chiyoda-ku, Tokyo",2585,2568,157373,2018-04-15 07:51:14,2020-08-02 23:00:30,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-02 22:50:42,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","[{'text': 'Day33', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
andrewmorrisuk,Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent,Bedford,894,11393,423094,2014-02-23 21:58:16,2020-08-02 22:49:40,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","[{'text': 'Day33', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43314,2018-06-22 10:41:21,2020-08-02 22:49:38,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","[{'text': 'Day33', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
fikkyman1,"Christ! 📢
Tech boy 💻
United ✨✨",Nigeria,417,74,293,2014-09-06 18:56:18,2020-08-02 22:49:32,4,"#Day33 of #DSN70daysofML

OVO and OVR were introduced today to help with solving multiclass problems... Gradually SVM is coming to an end.

OVO- One Versus One
OVR- One Versus Rest

@DataScienceNIG @AiUnilorin @bayoadekanmbi  @o_funminiyi #MachineLearning","[{'text': 'Day33', 'indices': [0, 6]}, {'text': 'DSN70daysofML', 'indices': [10, 24]}, {'text': 'MachineLearning', 'indices': [239, 255]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43314,2018-06-22 10:41:21,2020-08-02 22:47:48,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
TheCuriousLuke,Luke identifies himself as a: #MachineLearning #Enthusiast 🤖 ¦ #Biotechnology #Student 🤓 ¦ former #Chemical #Labtechnician 👨‍🔬 ¦  #Human,Switzerland,259,5098,217799,2018-11-18 10:50:47,2020-08-02 22:24:42,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-02 22:24:22,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
gold_ochim,...🌇,"Abuja, Nigeria",507,112,227,2018-02-25 19:40:54,2020-08-02 22:23:22,10,"Day [33/70]
SVM parameters. 
Today was basically about what parameters to twitch in svm in scikit-learn... to get better performance...
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [136, 150]}, {'text': 'Python', 'indices': [151, 158]}, {'text': 'CodeNewbie', 'indices': [159, 170]}, {'text': 'MachineLearning', 'indices': [171, 187]}]"
Calcaware,https://t.co/xMjqdfEYQu,"Austin, TX",385,8084,493851,2016-03-15 02:19:43,2020-08-02 18:36:03,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-02 18:36:01,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-02 18:35:44,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","[{'text': 'DSN70daysofML', 'indices': [178, 192]}, {'text': 'MachineLearning', 'indices': [193, 209]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-01 23:01:48,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [36, 50]}, {'text': 'GIS', 'indices': [65, 69]}, {'text': 'geospatial', 'indices': [70, 81]}, {'text': 'Day32', 'indices': [82, 88]}]"
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,369,351,3954,2020-04-08 14:30:59,2020-08-01 23:01:05,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [36, 50]}, {'text': 'GIS', 'indices': [65, 69]}, {'text': 'geospatial', 'indices': [70, 81]}, {'text': 'Day32', 'indices': [82, 88]}]"
elisha_ekanem,,,1334,328,546,2017-08-22 12:38:28,2020-08-01 23:01:00,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [17, 31]}, {'text': 'GIS', 'indices': [46, 50]}, {'text': 'geospatial', 'indices': [51, 62]}, {'text': 'Day32', 'indices': [63, 69]}]"
SSXman2,I'm a biologist,"Benin-City, Nigeria",4968,4348,351739,2017-07-28 08:00:40,2020-08-01 22:34:25,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","[{'text': 'Day32', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,408,37992,2020-05-31 11:17:02,2020-08-01 22:18:00,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
